1001,2026-02-14 10:15:23,88.5,1,ENGINE_OK
1002,2026-02-14 10:16:10,92.3,0,ENGINE_OVERHEAT
1003,2026-02-14 10:17:45,76.8,1,ENGINE_OK
1004,2026-02-14 10:18:02,101.4,1,ENGINE_OK
1005,2026-02-14 10:18:22,85.0,0,ENGINE_SENSOR_FAIL
1006,2026-02-14 10:19:10,95.6,1,ENGINE_OK
1007,2026-02-14 10:20:05,60.2,1,ENGINE_OK
1008,2026-02-14 10:21:11,110.7,0,ENGINE_OVERHEAT
1009,2026-02-14 10:22:30,72.9,1,ENGINE_OK
1010,2026-02-14 10:23:44,89.4,1,ENGINE_OK

1011,INVALID_DATA
1012,2026-02-14 10:24:55,abc,1,ENGINE_OK
,2026-02-14 10:25:12,77.3,1,ENGINE_OK
1013,2026-02-14 10:26:30,98.2,2,ENGINE_OK
